data_object,initial_completeness,technique_completeness,ml_algorithm,final_ml_value
default of credit card clients_x6,0.2502625,impute_random_forest,LogisticRegression,0.7639311556276362
default of credit card clients_x6,0.2502625,impute_cmeans,LogisticRegression,0.7610348066783217
default of credit card clients_x6,0.2502625,impute_standard,KNN,0.7860563349115561
default of credit card clients_x6,0.2502625,impute_mean,KNN,0.7859589591260643
default of credit card clients_x6,0.2502625,impute_median,KNN,0.7860563349115561
default of credit card clients_x6,0.2502625,impute_random,KNN,0.7779602586075335
default of credit card clients_x6,0.2502625,impute_knn,KNN,0.7855520942075493
default of credit card clients_x6,0.2502625,impute_mice,KNN,0.7858270562488355
default of credit card clients_x6,0.2502625,impute_linear_regression,KNN,0.7859083750004028
default of credit card clients_x6,0.2502625,impute_random_forest,KNN,0.7856257602879299
default of credit card clients_x6,0.2502625,impute_cmeans,KNN,0.7859386890928081
default of credit card clients_x6,0.2502625,impute_standard,RandomForest,0.7919732561646066
default of credit card clients_x6,0.2502625,impute_mean,RandomForest,0.7916169386863102
default of credit card clients_x6,0.2502625,impute_median,RandomForest,0.7913959058710919
default of credit card clients_x6,0.2502625,impute_random,RandomForest,0.7813616415038147
default of credit card clients_x6,0.2502625,impute_knn,RandomForest,0.7928964830476389
default of credit card clients_x6,0.2502625,impute_mice,RandomForest,0.7928359442044668
default of credit card clients_x6,0.2502625,impute_linear_regression,RandomForest,0.7925656677569957
default of credit card clients_x6,0.2502625,impute_random_forest,RandomForest,0.7931132813897247
default of credit card clients_x6,0.2502625,impute_cmeans,RandomForest,0.7920112542564038
default of credit card clients_x6,0.2502625,impute_standard,AdaBoost,0.7794614811209849
default of credit card clients_x6,0.2502625,impute_mean,AdaBoost,0.7804436485796112
default of credit card clients_x6,0.2502625,impute_median,AdaBoost,0.7794614811209849
default of credit card clients_x6,0.2502625,impute_random,AdaBoost,0.776837447054933
default of credit card clients_x6,0.2502625,impute_knn,AdaBoost,0.7862963873536458
default of credit card clients_x6,0.2502625,impute_mice,AdaBoost,0.7902788883458233
default of credit card clients_x6,0.2502625,impute_linear_regression,AdaBoost,0.7902364663117672
default of credit card clients_x6,0.2502625,impute_random_forest,AdaBoost,0.7871077603778066
default of credit card clients_x6,0.2502625,impute_cmeans,AdaBoost,0.7857620906883442
default of credit card clients_x6,0.2502625,impute_standard,SVC,0.4671912113789521
default of credit card clients_x6,0.2502625,impute_mean,SVC,0.469553949887521
default of credit card clients_x6,0.2502625,impute_median,SVC,0.4671912113789521
default of credit card clients_x6,0.2502625,impute_random,SVC,0.4637589314133376
default of credit card clients_x6,0.2502625,impute_knn,SVC,0.4768541079123757
default of credit card clients_x6,0.2502625,impute_mice,SVC,0.4767821181314591
default of credit card clients_x6,0.2502625,impute_linear_regression,SVC,0.4758175537678317
default of credit card clients_x6,0.2502625,impute_random_forest,SVC,0.4825576081834548
default of credit card clients_x6,0.2502625,impute_cmeans,SVC,0.4810061533961087
default of credit card clients_x6,0.2006875,impute_standard,DecisionTree,0.7917526705152503
default of credit card clients_x6,0.2006875,impute_mean,DecisionTree,0.7917934087365597
default of credit card clients_x6,0.2006875,impute_median,DecisionTree,0.7917676317188144
default of credit card clients_x6,0.2006875,impute_random,DecisionTree,0.7829667070594284
default of credit card clients_x6,0.2006875,impute_knn,DecisionTree,0.7930487036377112
default of credit card clients_x6,0.2006875,impute_mice,DecisionTree,0.793045149444695
default of credit card clients_x6,0.2006875,impute_linear_regression,DecisionTree,0.7930519808390194
default of credit card clients_x6,0.2006875,impute_random_forest,DecisionTree,0.7935800063270417
default of credit card clients_x6,0.2006875,impute_cmeans,DecisionTree,0.7916696358563052
default of credit card clients_x6,0.2006875,impute_standard,LogisticRegression,0.7588993694100855
default of credit card clients_x6,0.2006875,impute_mean,LogisticRegression,0.7589236415842198
default of credit card clients_x6,0.2006875,impute_median,LogisticRegression,0.7588993694100855
default of credit card clients_x6,0.2006875,impute_random,LogisticRegression,0.7539761023382238
default of credit card clients_x6,0.2006875,impute_knn,LogisticRegression,0.763542216702021
default of credit card clients_x6,0.2006875,impute_mice,LogisticRegression,0.7629071251704681
default of credit card clients_x6,0.2006875,impute_linear_regression,LogisticRegression,0.7628985958759242
default of credit card clients_x6,0.2006875,impute_random_forest,LogisticRegression,0.7654667770646556
default of credit card clients_x6,0.2006875,impute_cmeans,LogisticRegression,0.7626724606577683
default of credit card clients_x6,0.2006875,impute_standard,KNN,0.7866944573084588
default of credit card clients_x6,0.2006875,impute_mean,KNN,0.7865487584031547
default of credit card clients_x6,0.2006875,impute_median,KNN,0.7866944573084588
default of credit card clients_x6,0.2006875,impute_random,KNN,0.7805239324313298
default of credit card clients_x6,0.2006875,impute_knn,KNN,0.7870308890834364
default of credit card clients_x6,0.2006875,impute_mice,KNN,0.7869540845742363
default of credit card clients_x6,0.2006875,impute_linear_regression,KNN,0.7869604838412294
default of credit card clients_x6,0.2006875,impute_random_forest,KNN,0.7872843689769109
default of credit card clients_x6,0.2006875,impute_cmeans,KNN,0.7863683591487268
default of credit card clients_x6,0.2006875,impute_standard,RandomForest,0.7929396831483707
default of credit card clients_x6,0.2006875,impute_mean,RandomForest,0.7930037899094549
default of credit card clients_x6,0.2006875,impute_median,RandomForest,0.7928006985746916
default of credit card clients_x6,0.2006875,impute_random,RandomForest,0.7849358494326315
default of credit card clients_x6,0.2006875,impute_knn,RandomForest,0.7946491727565967
default of credit card clients_x6,0.2006875,impute_mice,RandomForest,0.7943467393572787
default of credit card clients_x6,0.2006875,impute_linear_regression,RandomForest,0.7942235632283842
